,Board,Post ID,Subject,Comment,Image URL
0,/pol/,124205675,Welcome to /pol/ - Politically Incorrect,"This board is for the discussion of news, world events, political issues, and other related topics.<br>
<br>
Off-topic and /b/-tier threads will be deleted (and possibly earn you a ban, if you persist). Unless they are quality, well thought out, well written posts, the following are some examples of off-topic and/or /b/-tier threads:<br>
<br>
<span class=""quote"">&gt;Red pill me on X. (with no extra content or input of your own)</span><br>
<span class=""quote"">&gt;Are X white?</span><br>
<span class=""quote"">&gt;Is X degeneracy?</span><br>
<span class=""quote"">&gt;How come X girls love Y guys so much?</span><br>
<span class=""quote"">&gt;If X is true, then how come Y? Checkmate Z.</span><br>
<br>
The variety of threads allowed here are very flexible and we believe in freedom of speech, but we expect a high level of discourse befitting of the board. Attempts to disrupt the board will not be tolerated, nor will calls to disrupt other boards and sites.<br>
<br>
If you want a place to discuss topics not related to news, world events, or politics, please try <a href=""https://boards.4chan.org/bant/"">/bant/ - International/Random</a>,",http://i.4cdn.org/pol/1493993226750.jpg
1,/pol/,143684145,,"<p style=""font-size:22px;font-weight:600;"">Check the catalog before posting a new thread!</p><p style=""font-size:16px;font-weight:600;"">Reply to existing threads about a topic instead of starting a new one. Mods will delete obvious duplicate threads and spam without notice.</p>",http://i.4cdn.org/pol/1506944299990.jpg
2,/pol/,172227554,,"<p style=""font-size:18px;font-weight:600;"">If your thread is not specifically about politics, then it does not belong on /pol/.</p><p style=""font-size:16px;font-weight:600;"">Use /bant/ for off-topic and non-political discussions.<br><br><a href=""https://boards.4chan.org/bant/""><a href=""/bant/"" class=""quotelink"">&gt;&gt;&gt;/bant/</a></a></p>",
3,/pol/,252176376,Brit/pol/ Brekkie Edition,"<span class=""quote"">&gt;Coronavirus: &#039;Under 25&#039;s and women among worst hit in lockdown&#039;</span><br>https://www.bbc.co.uk/news/business-52176666<br><br><span class=""quote"">&gt;Coronavirus: Domestic abuse calls up 25% since lockdown, charity says</span><br>https://www.bbc.co.uk/news/uk-52157620<br><br><span class=""quote"">&gt;After this crisis, remember the NHS is not drained by migrants, but sustained by them</span><br>https://www.theguardian.com/commentisfree/2020/apr/06/coronavirus-crisis-nhs-not-drained-migrants-sustained-died-frontline<br><br><span class=""quote"">&gt;Rees-Mogg firm accused of cashing in on coronavirus crisis</span><br>https://www.theguardian.com/business/2020/apr/05/rees-mogg-firm-accused-of-cashing-in-on-coronavirus-crisis<br><br><span class=""quote"">&gt;The coronavirus crisis has exposed the ugly truth about celebrity culture and capitalism</span><br>https://www.theguardian.com/commentisfree/2020/mar/31/the-coronavirus-crisis-has-exposed-the-ugly-truth-about-celebrity-culture-and-capitalism",http://i.4cdn.org/pol/1586157021347.jpg
4,/pol/,252178993,,"<a href=""#p252176893"" class=""quotelink"">&gt;&gt;252176893</a><br>I&#039;ll coof on your brekkie you fucking yank cunt.",
5,/pol/,252179144,,"<span class=""quote"">&gt;muh NHS</span><br>muh NHS<br><span class=""quote"">&gt;muh NHS</span><br>muh NHS<br><span class=""quote"">&gt;muh NHS</span><br>muh NHS<br><br>will surely save this racist, christian PM of the cUcK",http://i.4cdn.org/pol/1586159293273.png
6,/pol/,252179152,,"<a href=""#p252176893"" class=""quotelink"">&gt;&gt;252176893</a><br>Say oregano and basil to me again burger<br><span class=""quote"">&gt; yaaallll</span><br>Lmao",
7,/pol/,252179186,,"<a href=""#p252176376"" class=""quotelink"">&gt;&gt;252176376</a><br>What the hell is that it looks delicious",
8,/pol/,252179190,,"<a href=""#p252178611"" class=""quotelink"">&gt;&gt;252178611</a><br>Youve literally never left your house in your life",
9,/pol/,252173590,/cvg/ - Corona Virus General #2974,"► Detected: 1,274,578 (+1,716) ► Died: 69,487 (+62) ► Day: 88 (-19:43:28)<br><br>— 4.3 billion people put under lockdown —<br>— 208 countries and territories infected —<br>— 3.8x more confirmed deaths than swine flu pandemic —<br>— 3,486 strains have been sequenced —<br>— 62 vaccines and 298 treatments announced —<br><br><span class=""quote"">&gt;LIVE</span><br>https://youtu.be/sK5-DfNyewA<br><br><span class=""quote"">&gt;NEWS</span><br>US underreports amount of deaths, investigation confirms<br>https://archive.is/WkFbV<br><br>Boris Johnson, UK prime minister, admitted to hospital<br>https://archive.is/thlvF<br><br>Death rate in NY higher than 0.5% for younger adults<br>https://archive.is/9U1N2<br><br>24 year old in the US has died to coronavirus<br>https://archive.is/fPqXm<br><br>H1N1 only had 3,433 confirmed deaths in the US, rest is estimated<br>https://archive.is/YdfDX<br><br><span class=""quote"">&gt;INFO</span><br>r0 between 6.11 and 8.18, higher than expected<br>https://archive.is/1WTiA<br><br>All cases in study test positive 2 weeks after &quot;recovery&quot;<br>https://archive.is/TpnNV<br><br>Virus travels 4.5 meters, stays in air 30 minutes<br>https://archive.is/2YKrJ<br><br>Under 1 year old in the US dies to coronavirus<br>https://archive.is/5KukH<br><br>Coronavirus is airborne, WHO officials confirm<br>https://archive.is/ufDZK<br><br><span class=""quote"">&gt;REMINDER</span><br>Infected come out negative 50 to 70% of the time<br>https://archive.is/yyGJm<br><br>China cremates observed and suspected patients immediately<br>https://archive.is/kdBtS<br><br>China covering up &quot;second wave&quot; of infections<br>https://archive.is/I92fj<br><br>Many &quot;mild cases&quot; might be HCoV false positives<br>https://archive.is/d1HLr<br><br>Infected in India only discovered post-mortem<br>https://archive.is/6ajdF<br><br><span class=""quote"">&gt;LATEST</span><br>05:45: 720 new cases and 29 new deaths in India<br>05:41: 792 new cases and 123 new deaths in Spain<br>05:29: 905 new cases and 26 new deaths in Germany<br>01:29: 67 new cases in New Zealand<br>01:20: 47 new cases and 3 new deaths in South Korea<br>01:17: 253 new cases and 15 new deaths in Mexico<br><br>► Previous: <a href=""/pol/thread/252165394#p252165394"" class=""quotelink"">&gt;&gt;252165394</a> ► List 1: <a href=""/pol/thread/252110031#p252111162"" class=""quotelink"">&gt;&gt;252111162</a> ► List 2: <a href=""/pol/thread/252110031#p252111728"" class=""quotelink"">&gt;&gt;252111728</a><br><br>MORE: https://pastebin.com/raw/qy5RFpVX",http://i.4cdn.org/pol/1586154915481.png
