,Board,Post ID,Subject,Comment,Image URL
0,/v/,502270796,,What was the biggest waste of money you have spent on a video game?,http://i.4cdn.org/v/1586143202623.jpg
1,/v/,502292943,,"would say arma 3, as with 2 pc upgrades i still can&#039;t run it properly, also i bought fallout 4 full price on launch day and couldnt even run it on my pc, later when i got the upgrade i spent like 150 hours in it playing with mods, pretty worth it all things considered",
2,/v/,502293087,,"<a href=""#p502292910"" class=""quotelink"">&gt;&gt;502292910</a><br>based bush poster",http://i.4cdn.org/v/1586157967365.jpg
3,/v/,502293128,,"<a href=""#p502270796"" class=""quotelink"">&gt;&gt;502270796</a><br>Bulletstorm. Bugged high scores and misleading advertising. Paid full price release day.",
4,/v/,502293132,,"<a href=""#p502292038"" class=""quotelink"">&gt;&gt;502292038</a><br>another story albeit unrelated:<br><span class=""quote"">&gt;2006ish</span><br><span class=""quote"">&gt;play MMO</span><br><span class=""quote"">&gt;be somewhat decent at it</span><br><span class=""quote"">&gt;clan invites me to play for them</span><br><span class=""quote"">&gt;decline</span><br><span class=""quote"">&gt;they say they will pay me in game currency (only purchasable by $$$) monthly</span><br><span class=""quote"">&gt;okay why not</span><br><span class=""quote"">&gt;become real bros with them</span><br><span class=""quote"">&gt;wonder how the fuck they can give me $100 USD of in game currency each month to play in their clan</span><br><span class=""quote"">&gt;joke all the time that they&#039;re rich oil prince heirs</span><br><span class=""quote"">&gt;they were Iranian iirc</span><br><span class=""quote"">&gt;looking back I think their father/uncle owned a gas station that sold game cards and were getting them for free each month</span><br>god I miss those guys so much. tried to reconcile with them after a decade of completely disappearing one day out of the blue. when they asked me to get on Skype with them I ghosted them again because I&#039;m such a failure and hate myself haha. hope they&#039;re doing good.",http://i.4cdn.org/v/1586158008332.jpg
5,/v/,502293779,,"<a href=""#p502270796"" class=""quotelink"">&gt;&gt;502270796</a><br>MGSV",
6,/v/,502279595,,Why aren&#039;t you playing persona 5 royal?,http://i.4cdn.org/v/1586148599720.jpg
7,/v/,502290142,,"<a href=""#p502279595"" class=""quotelink"">&gt;&gt;502279595</a><br>still playing animal crossing. <br>got my deluxe edition in the male though.<br><br>played the shit out of P5 but still dont even know whats mainly changed in the royal version other than that new female character.",
8,/v/,502291269,,Was he kino?,http://i.4cdn.org/v/1586156600170.jpg
9,/v/,502291563,,"<a href=""#p502291269"" class=""quotelink"">&gt;&gt;502291269</a><br><span class=""quote"">&gt;i have literally created the perfect world where absolutely nothing is wrong, with no downsides. There is no reason not to stay here.</span><br><span class=""quote"">&gt;UH SHITTY ADULTS FUCK YOU WE CHOOSE OUR OWN DESTINY</span><br>no",
10,/v/,502293248,,"<a href=""#p502291563"" class=""quotelink"">&gt;&gt;502291563</a>",http://i.4cdn.org/v/1586158112554.jpg
11,/v/,502293489,,"<span class=""quote"">&gt;always try to use the canon name when given the choice</span><br><span class=""quote"">&gt;can&#039;t read Amamiya without the song Mama Mia playing in my head</span><br>This is genuinely ruining my enjoyment of the game",http://i.4cdn.org/v/1586158303787.gif
12,/v/,502283517,,"I can&#039;t believe it. I mean, I&#039;m literally in shock. I thought all the time ghost bullshit was just shitposting in bad faith like /v/ always does. Does anyone know for a fact what those fucking things are? Are they actually changing the entire story line or some shit?<br><br>Holy fuck if I hadn&#039;t already lost all interest in this game 5 years ago, this would have been it",http://i.4cdn.org/v/1586151136172.jpg
13,/v/,502294761,,"<a href=""#p502294689"" class=""quotelink"">&gt;&gt;502294689</a><br>the whispers saw advent children",
14,/v/,502294764,,"<a href=""#p502294676"" class=""quotelink"">&gt;&gt;502294676</a><br><span class=""quote"">&gt;swap &quot;retarded&quot; with &quot;different&quot; and you&#039;ll start to get closer to what they&#039;re really saying here</span><br>He did something different and it was retarded.",
15,/v/,502294767,,"<a href=""#p502291416"" class=""quotelink"">&gt;&gt;502291416</a><br>Should have made them look like Organization XIII cloaked goons for maximum Nomura buttrage.",
16,/v/,502294773,,"<a href=""#p502283946"" class=""quotelink"">&gt;&gt;502283946</a><br><span class=""quote"">&gt;They&#039;re supposed to be the spirits of the cloaked men from the original game attacking you as an extension of Sephiroth&#039;s illusions powers. The time travel part is trolling.</span><br>No you lying faggot. You literally see the cloaked Sephiroth clones in the game and they just look like human dudes in hooded cloaks. The time jannies are something completely different.",
17,/v/,502294779,,"<a href=""#p502283517"" class=""quotelink"">&gt;&gt;502283517</a><br>As this anon <a href=""#p502283680"" class=""quotelink"">&gt;&gt;502283680</a><br> said it basically gives Nomura the carte blanche he wanted<br>The meta-narrative thing is a terrible fucking idea. <br>Everyone wanted to fill in the gaps of the original story and expand the world a bit -- not completely rewrite everything with Kingdom Hearts retard writers",
18,/v/,502291276,,Does fan service make a game good?,http://i.4cdn.org/v/1586156610022.png
19,/v/,502294575,,"<a href=""#p502291276"" class=""quotelink"">&gt;&gt;502291276</a><br>Looks like Urbanator. Sauce me boss.",
20,/v/,502294646,,"<a href=""#p502291276"" class=""quotelink"">&gt;&gt;502291276</a><br><span class=""quote"">&gt;fanservice in the form of references to prior games bad</span><br><span class=""quote"">&gt;fanservice in the form of coom good</span><br>the absolute state",
21,/v/,502294697,,"Random question anons of this thread, but how many of you are only here because no where else would accept you and not because you want to be here? Also, your thoughts on the coomer meme?",
22,/v/,502294716,,"No, coomer.",
23,/v/,502294770,,"<a href=""#p502294445"" class=""quotelink"">&gt;&gt;502294445</a><br>/v/ is a sea of coomers and moral posters get drowned <br><br>4chan has fallen",
24,/v/,502268160,,"Why are literally ALL WRPGs high fantasy or sci fi? Why are there no modern settings for a WRPG? A full game based around the first 10 minutes of Fallout 4 would be comfy, where you&#039;re just some random guy living in a modern suburbia.",http://i.4cdn.org/v/1586141628570.jpg
25,/v/,502294550,,"<a href=""#p502294082"" class=""quotelink"">&gt;&gt;502294082</a><br>Yes they do. It&#039;s all about stats and nothing else.",
26,/v/,502294564,,"<a href=""#p502294469"" class=""quotelink"">&gt;&gt;502294469</a><br><span class=""quote"">&gt;You can&#039;t follow a flowchart to win in even the most basic jrpgs.</span><br>Since they&#039;re all linear as fuck, you can.",
27,/v/,502294568,,"<a href=""#p502292891"" class=""quotelink"">&gt;&gt;502292891</a><br>yeah because brainlets are too stupid to grasp the game systems and brute forcing is only possible if you waste tons of time grinding.",
28,/v/,502294674,,"<a href=""#p502294443"" class=""quotelink"">&gt;&gt;502294443</a><br>jrpgs don&#039;t require you to grind, they allow you to play in a variety of ways. wrpgs force you to grind if you don&#039;t have able equipment. There&#039;s a reason it&#039;s the most casual genre.",
29,/v/,502294751,,"<a href=""#p502294564"" class=""quotelink"">&gt;&gt;502294564</a><br>Not at all.",
30,/v/,502293789,Female character design,"Is this where it peaked?<br><br>Previous thread <span class=""deadlink"">&gt;&gt;502289448</span>",http://i.4cdn.org/v/1586158515909.png
31,/v/,502294680,,"<a href=""#p502294457"" class=""quotelink"">&gt;&gt;502294457</a><br>what do you mean what happened? it&#039;s still up.",
32,/v/,502294685,,"<a href=""#p502294524"" class=""quotelink"">&gt;&gt;502294524</a><br>why are you even posting here? you have too weak a constitution to be posting on a site that allows &quot;freethinkers&quot;",
33,/v/,502294719,,"<a href=""#p502294479"" class=""quotelink"">&gt;&gt;502294479</a><br>Why does japan have to stop expanding and not useless Africa?",
34,/v/,502294756,,"<a href=""#p502294558"" class=""quotelink"">&gt;&gt;502294558</a><br>Too bad, they will all be dead soon and your race will die too :^)",
35,/v/,502294771,,"<a href=""#p502294223"" class=""quotelink"">&gt;&gt;502294223</a><br>is there more",http://i.4cdn.org/v/1586159327973.jpg
36,/v/,502252662,Villager Thread,Post your favorite villager on your island,http://i.4cdn.org/v/1586132712640.png
37,/v/,502294256,,"<a href=""#p502271575"" class=""quotelink"">&gt;&gt;502271575</a><br>I&#039;ve been doing the thing where i don&#039;t talk to them and hit them with the net. Every day they still haven&#039;t asked to leave. <br><br>I&#039;ve had 3 others ask to leave and it was ones i had maxed out the relationship with. So really smother them with love and they will eventually ask if they should move to other islands. <br><br>I think the game is pushing you to cycle through characters after you got some recipes from them and they gave you some gifts.",
38,/v/,502294274,,"<a href=""#p502293840"" class=""quotelink"">&gt;&gt;502293840</a><br>post FC, i&#039;ll let you know when she&#039;s thinking of leaving so you can scoop her",
39,/v/,502294349,,"<a href=""#p502293778"" class=""quotelink"">&gt;&gt;502293778</a><br>I scanned him into my town through amiibo cause he was my bestie in wild world<br><br>I managed to roll rocket on one of the islands too, I had her in new leaf and she kinda grew on me despite all the hate she gets",http://i.4cdn.org/v/1586158978987.jpg
40,/v/,502294384,,"<span class=""quote"">&gt;fuchsia admitted she used to be an emo</span><br><br>Going to give her black clothing exclusively from now on",
41,/v/,502294426,,"I got this old geezer on an island, and I love him",http://i.4cdn.org/v/1586159036662.png
42,/v/,502292546,,.,http://i.4cdn.org/v/1586157559752.jpg
43,/v/,502293504,,"<a href=""#p502292959"" class=""quotelink"">&gt;&gt;502292959</a><br>Watch more JAV <br>The degenerate kind with MILFs",
44,/v/,502293531,,"<a href=""#p502292546"" class=""quotelink"">&gt;&gt;502292546</a><br><span class=""quote"">&gt;boobies didnt exist in the middle ages</span>",
45,/v/,502294060,,"<a href=""#p502293531"" class=""quotelink"">&gt;&gt;502293531</a><br>Neither did underground cults of dubstep-blasting mole people with nuke silos, but hey, who&#039;s trying to be realistic here?",
46,/v/,502294334,,"<a href=""#p502293253"" class=""quotelink"">&gt;&gt;502293253</a><br><br>Tell me Martok, if your Empire is so great why are there no good Klingon games?",
47,/v/,502294465,,"<a href=""#p502294334"" class=""quotelink"">&gt;&gt;502294334</a><br>Because video games are without honor!",http://i.4cdn.org/v/1586159087418.jpg
48,/v/,502269435,/3make/,"As of now, is Nemesis one of the hardest boss (if not the hardest) in the entire Resident Evil series? <br><br>Genuine challenge that requires mastery of the game&#039;s main mechanic and infinite ammo/shop weapons barely make a difference since the fight relies on pure skill where even the handgun would suffice.<br>Music that uses the original soundtrack and actually improves on it. Beating him is such a great catharsis and means that you&#039;ve practically conquered the game.",http://i.4cdn.org/v/1586142378045.png
